kind,query,algorithm,n,comparisons,seconds,trial_1,trial_2,trial_3,trial_4,trial_5
uniform,hit,linear_search,1000,507.34375,3.282812508587085e-05,3.310937495371036e-05,3.234375003557943e-05,3.282812508587085e-05,3.237187502236338e-05,3.341406250001455e-05
uniform,hit,binary_search,1000,17.15625,1.48593744597747e-06,1.5078126125445124e-06,1.4984373137849616e-06,1.4828126495558536e-06,1.4749998626939487e-06,1.48593744597747e-06
uniform,hit,interpolation_search,1000,14.546875,1.1874999472638592e-06,1.1937499948544428e-06,1.1874999472638592e-06,1.1874999472638592e-06,1.1812498996732756e-06,1.1796876151493052e-06
uniform,miss,linear_search,1000,1000,6.939843729014683e-05,6.968750017222192e-05,6.792812496314582e-05,6.802968755437178e-05,6.939843729014683e-05,7.4317187682027e-05
uniform,miss,binary_search,1000,19.96875,1.7593749817024218e-06,1.8078123957820935e-06,1.7437498627259629e-06,1.8812500002240995e-06,1.7593749817024218e-06,1.75624995790713e-06
uniform,miss,interpolation_search,1000,15.609375,1.228125029228977e-06,1.2374998732411768e-06,1.2328125649219146e-06,1.2203124697407475e-06,1.2187499578431016e-06,1.228125029228977e-06
uniform,hit,linear_search,3000,1501.6875,0.0001149156248629879,0.00011319062491566001,0.00012725624992526718,0.0001149156248629879,0.00011721562486854964,0.00010509218759580108
uniform,hit,binary_search,3000,20.4375,1.8421874301566277e-06,1.968749984371243e-06,1.8453124539519195e-06,1.8421874301566277e-06,1.8406249182589818e-06,1.8156251826439984e-06
uniform,hit,interpolation_search,3000,18.375,1.4218749129213393e-06,1.4499998997052899e-06,1.4328124962048605e-06,1.4218749129213393e-06,1.418750116499723e-06,1.403124997523264e-06
uniform,miss,linear_search,3000,3000,0.00021945312505522452,0.00021499687500181608,0.00021999687510287913,0.00021870937507628696,0.00021945312505522452,0.00022503750005853362
uniform,miss,binary_search,3000,23.3125,1.9968749711551936e-06,2.1187499896768713e-06,1.9984374830528395e-06,1.9968749711551936e-06,1.9734375200641807e-06,1.967187472473597e-06
uniform,miss,interpolation_search,3000,19.875,1.5156249446590664e-06,1.5828125015104888e-06,1.6359374512830982e-06,1.5156249446590664e-06,1.5062501006468665e-06,1.500000053056283e-06
uniform,hit,linear_search,10000,4846.5,0.00036630156250794244,0.00036630156250794244,0.0003712828126936074,0.00036041562498212443,0.00036346093770589505,0.00039552812518195424
uniform,hit,binary_search,10000,23.25,2.2031251774023985e-06,2.2828126020613126e-06,2.2031251774023985e-06,2.760937604762148e-06,2.1140624539839337e-06,2.1359373931773007e-06
uniform,hit,interpolation_search,10000,16.890625,1.462499994886457e-06,1.470312327001011e-06,1.4562499472958734e-06,1.462499994886457e-06,1.5265625279425876e-06,1.426562448614277e-06
uniform,miss,linear_search,10000,10000,0.0007647625000117841,0.0007511484375299915,0.0007647625000117841,0.0007754906248464977,0.0007671749999644817,0.0007596515624754829
uniform,miss,binary_search,10000,26.5,2.2906249341758667e-06,2.310937361471588e-06,2.2906249341758667e-06,2.2937499579711584e-06,2.279687578266021e-06,2.2687499949824996e-06
uniform,miss,interpolation_search,10000,18.09375,1.4203124010236934e-06,1.4874999578751158e-06,1.6015626442822395e-06,1.3968749499326805e-06,1.4015624856256181e-06,1.4203124010236934e-06
uniform,hit,linear_search,30000,14436.265625,0.0011370046875072148,0.001080464062624742,0.001055464062574174,0.0011389937501462555,0.0011501031249281368,0.0011370046875072148
uniform,hit,binary_search,30000,26.90625,2.4031251086853445e-06,2.3906250135041773e-06,2.5765623377083102e-06,2.382812454015948e-06,2.4031251086853445e-06,2.4250000478787115e-06
