algorithm,n,seconds,trial_1,trial_2,trial_3,trial_4,trial_5
sum,1000,8.900000830180943e-05,8.040000102482736e-05,8.030000026337802e-05,8.900000830180943e-05,9.270000737160444e-05,9.23999905353412e-05
sum,3000,0.0002550999925006181,0.00027400000544730574,0.0002550999925006181,0.00024649999977555126,0.00025069998810067773,0.00033490000350866467
sum,10000,0.0008331999997608364,0.0008331999997608364,0.0008238000009441748,0.0008993999945232645,0.0010348000068916008,0.0004425999941304326
sum,30000,0.0021418999967863783,0.002398399999947287,0.0021135999995749444,0.002159200012101792,0.0021418999967863783,0.0014278000016929582
sum,100000,0.0047836999874562025,0.004146199993556365,0.004002700006822124,0.00631529999373015,0.007114800013368949,0.0047836999874562025
max,1000,4.3499996536411345e-05,4.320000880397856e-05,4.4200001866556704e-05,4.4500004150904715e-05,4.339999577496201e-05,4.3499996536411345e-05
max,3000,0.00029519999225158244,0.00032040000951383263,0.00028730000485666096,0.0003158999898005277,0.00029519999225158244,0.00024059999850578606
max,10000,0.00042690000555012375,0.0004349999944679439,0.00042690000555012375,0.00041799999598879367,0.000414399997680448,0.0004302000015741214
max,30000,0.0013387999933911487,0.0013684999867109582,0.0013387999933911487,0.0013259999977890402,0.001302200005738996,0.0018790000031003729
max,100000,0.004386799992062151,0.004337499995017424,0.004685299994889647,0.004386799992062151,0.004543199989711866,0.004189899991615675
equal_pairs,500,0.00618650000251364,0.0061280000081751496,0.00618650000251364,0.007055199996102601,0.006787300007999875,0.006079900005715899
equal_pairs,1000,0.02632889999949839,0.02589560000342317,0.02632889999949839,0.02636379998875782,0.029357199993683025,0.025135100004263222
equal_pairs,3000,0.22776660000090487,0.2320651999907568,0.23396579999825917,0.22417279999353923,0.22776660000090487,0.21977500000502914
equal_pairs,10000,2.472587199998088,2.437275399992359,2.472587199998088,2.475519500003429,2.500172600004589,2.4630064999946626
equal_pairs,30000,22.457133199990494,22.439708500009147,22.499580699994112,22.362318399988,22.457133199990494,22.471061399992323
