algorithm,n,log2_n,seconds,trial_1,trial_2,trial_3,trial_4,trial_5
binary_pow,1000,9.965784284662087,1.6802700003609062e-06,1.728469999943627e-06,1.7856300000858028e-06,1.6658599997754208e-06,1.663045000168495e-06,1.6802700003609062e-06
binary_pow,10000,13.287712379549449,2.1771300002001224e-06,2.158019999478711e-06,2.3497649999626446e-06,2.2394650004571305e-06,2.1771300002001224e-06,2.1719199998187833e-06
binary_pow,100000,16.609640474436812,2.6838300000235903e-06,2.6838300000235903e-06,2.7483600002597087e-06,2.6354350004112346e-06,2.7143550003529527e-06,2.6550700000370854e-06
binary_pow,1000000,19.931568569324174,3.2013000003644263e-06,3.0337850002979395e-06,3.0711999999766705e-06,3.252364999934798e-06,3.2072649999463467e-06,3.2013000003644263e-06
binary_pow,10000000,23.253496664211536,3.821849999803817e-06,3.782070000306703e-06,3.821849999803817e-06,3.79590999946231e-06,3.903819999686675e-06,3.913259999535513e-06
