kind,algorithm,pattern_id,pattern,m,n,matches,comparisons,seconds,trial_1,trial_2,trial_3,trial_4,trial_5
texts_natural.txt,naive,0,okivo med,9,999999,1,1094572,0.2512499000004027,0.2512499000004027,0.2520791000133613,0.2508627999923192,0.2526351000124123,0.2464509999990696
texts_natural.txt,KMP,0,okivo med,9,999999,1,1087637,0.15764559998933692,0.15734079999674577,0.15804330000537448,0.16558649999205954,0.15764559998933692,0.15605609999329317
texts_natural.txt,Rabin-Karp,0,okivo med,9,999999,1,9,0.35116330000164453,0.3506792999978643,0.35147400001005735,0.35116330000164453,0.3512688999908278,0.3501193999982206
texts_natural.txt,BM bad,0,okivo med,9,999999,1,161867,0.07264410000061616,0.07198570000764448,0.07388419999915641,0.07264410000061616,0.07157859999279026,0.07351940000080504
texts_natural.txt,BM both,0,okivo med,9,999999,1,155683,0.07040530000813305,0.07001149999268819,0.07040530000813305,0.07164270000066608,0.07135179999750108,0.06834280000475701
texts_small_alphabet.txt,naive,1,dafeecagdgfabd,14,1000000,1,1166574,0.2574819000001298,0.26214839999738615,0.26315500000782777,0.2556258999975398,0.2549773000064306,0.2574819000001298
texts_small_alphabet.txt,KMP,1,dafeecagdgfabd,14,1000000,1,1142818,0.1654483999882359,0.16385250000166707,0.1654483999882359,0.1658746000030078,0.17657840000174474,0.1636441000009654
texts_small_alphabet.txt,Rabin-Karp,1,dafeecagdgfabd,14,1000000,1,14,0.3392935000010766,0.33403199999884237,0.3402157999953488,0.33729870000388473,0.3392935000010766,0.3403431000042474
texts_small_alphabet.txt,BM bad,1,dafeecagdgfabd,14,1000000,1,275883,0.11430879999534227,0.11464140001044143,0.1239581999980146,0.11430879999534227,0.11415280000073835,0.11329579999437556
texts_small_alphabet.txt,BM both,1,dafeecagdgfabd,14,1000000,1,239979,0.0970108000037726,0.10816669999621809,0.09629879999556579,0.09756710000510793,0.09693299999344163,0.0970108000037726
texts_natural.txt,naive,2,atuvodusa kumuvo dan,20,999999,1,1094614,0.24575469999399502,0.24451560000306927,0.2454303999984404,0.25340840000717435,0.24575469999399502,0.25809199998911936
