kind,algorithm,n,range,seconds,trial_1,trial_2,trial_3,trial_4,trial_5
wide,merge_sort,1000,1995785,0.002578300001914613,0.002798899993649684,0.0026713000115705654,0.0025489999970886856,0.002578300001914613,0.0025329999916721135
wide,counting_sort,1000,1995785,0.2074105000065174,0.20884509998722933,0.2072388999949908,0.2050753000075929,0.21565859999100212,0.2074105000065174
wide,radix_sort,1000,1995785,0.0018302999960724264,0.0018241999932797626,0.0018185999942943454,0.0019099999917671084,0.002595199999632314,0.0018302999960724264
wide,heap_sort,1000,1995785,0.0029356000013649464,0.0029226999904494733,0.0029356000013649464,0.003777400008402765,0.0029181999998399988,0.00298839999595657
wide,quick_sort,1000,1995785,0.005998500011628494,0.0059951000002911314,0.006853999992017634,0.005998500011628494,0.006050299998605624,0.005787699992652051
wide,sorted,1000,1995785,7.170000753831118e-05,7.979999645613134e-05,7.350000669248402e-05,7.170000753831118e-05,7.029999687802047e-05,6.969999230932444e-05
wide,merge_sort,3000,1999280,0.009537499994621612,0.009301400001277216,0.009267399989767,0.009692500010714866,0.009622900004615076,0.009537499994621612
wide,counting_sort,3000,1999280,0.21825069999613333,0.21825069999613333,0.21893000000272878,0.22803070000372827,0.21727839999948628,0.2156375000049593
wide,radix_sort,3000,1999280,0.006126699998276308,0.010862399998586625,0.006201399999554269,0.006126699998276308,0.005634499990264885,0.005986400006804615
wide,heap_sort,3000,1999280,0.010951500007649884,0.010908199998084456,0.010871400008909404,0.011288399997283705,0.010951500007649884,0.01118030000361614
wide,quick_sort,3000,1999280,0.019924099993659183,0.020409499993547797,0.022003000005497597,0.019637400007923134,0.019924099993659183,0.019668699998874217
wide,sorted,3000,1999280,0.0002840999950421974,0.0002967000036733225,0.00029940000968053937,0.00028220000967849046,0.0002825999981723726,0.0002840999950421974
wide,merge_sort,10000,1999894,0.03456990000267979,0.03361659999063704,0.03374910001002718,0.03456990000267979,0.035692700010258704,0.035545899998396635
wide,counting_sort,10000,1999894,0.2264813000074355,0.2324360000056913,0.2264813000074355,0.22056709999742452,0.2284858999919379,0.22421420000318903
wide,radix_sort,10000,1999894,0.01946170000883285,0.019276699997135438,0.019952699993154965,0.019376299998839386,0.01946170000883285,0.019935399992391467
wide,heap_sort,10000,1999894,0.04395220000878908,0.044185300008393824,0.04395220000878908,0.04197799999383278,0.04372909999801777,0.047406199999386445
wide,quick_sort,10000,1999894,0.08205140000791289,0.08290490000217687,0.08314129999780562,0.07695630000671372,0.08205140000791289,0.08118249999824911
wide,sorted,10000,1999894,0.001260999997612089,0.0012051000085193664,0.0011827999987872317,0.0012774000060744584,0.0012852999934693798,0.001260999997612089
wide,merge_sort,30000,1999880,0.11851280000701081,0.11851280000701081,0.1192175999894971,0.11669559999427292,0.11863059998722747,0.11726030000136234
wide,counting_sort,30000,1999880,0.24111429999175016,0.2622010000050068,0.25142249999044,0.24111429999175016,0.23926509999728296,0.23225049999018665
wide,radix_sort,30000,1999880,0.06489999999757856,0.06201550000696443,0.061276799999177456,0.06489999999757856,0.06722900000750087,0.06602529999508988
wide,heap_sort,30000,1999880,0.15819670000928454,0.16117859999940265,0.15894749999279156,0.15439579999656416,0.15819670000928454,0.15634520001185592
wide,quick_sort,30000,1999880,0.28577270000823773,0.27005459999782033,0.26678950000496116,0.2975373999943258,0.29518430000462104,0.28577270000823773
wide,sorted,30000,1999880,0.004191600004560314,0.0042108000052394345,0.004191600004560314,0.004184000004897825,0.004289799995603971,0.004185999991022982
wide,merge_sort,100000,1999940,0.4590732000069693,0.4828468000050634,0.4958979999937583,0.45458559998951387,0.45624850000604056,0.4590732000069693
wide,counting_sort,100000,1999940,0.3151742999907583,0.3078377000056207,0.31563729999470524,0.3151742999907583,0.3314472000056412,0.30319419999432284
wide,radix_sort,100000,1999940,0.32948849999229424,0.3345495999965351,0.29515689999971073,0.3193721999996342,0.3442589000042062,0.32948849999229424
wide,heap_sort,100000,1999940,0.6717270000081044,0.6515336000011303,0.663217799999984,0.6717270000081044,0.6813114999968093,0.7164394999999786
wide,quick_sort,100000,1999940,1.100132499996107,1.1251143999979831,1.0834555000037653,1.100132499996107,1.1067717999976594,1.0908334999985527
wide,sorted,100000,1999940,0.018046700002742,0.017695199989248067,0.017457500012824312,0.018046700002742,0.018123599991668016,0.018125400005374104
narrow,merge_sort,1000,10,0.002527899996493943,0.0026331999979447573,0.0025815999979386106,0.002525799995055422,0.002518299996154383,0.002527899996493943
narrow,counting_sort,1000,10,0.00030620000325143337,0.00030620000325143337,0.0003041000018129125,0.00029769999673590064,0.00035999999090563506,0.00030949999927543104
narrow,radix_sort,1000,10,0.000431999986176379,0.00046270000166259706,0.000431999986176379,0.0004034000012325123,0.0004268999909982085,0.00047250000352505594
narrow,heap_sort,1000,10,0.002787499994155951,0.002762599993729964,0.0027993999974569306,0.0027169999957550317,0.002833399994415231,0.002787499994155951
narrow,quick_sort,1000,10,0.0016890999977476895,0.0015543000044999644,0.002014799989410676,0.002118499993230216,0.0016890999977476895,0.0014240000018617138
narrow,sorted,1000,10,6.510000093840063e-05,5.6899996707215905e-05,0.00015749999147374183,7.740000728517771e-05,6.510000093840063e-05,6.10999995842576e-05
narrow,merge_sort,3000,30,0.00984170001174789,0.009701800008770078,0.010135400007129647,0.009856399992713705,0.009232099997461773,0.00984170001174789
narrow,counting_sort,3000,30,0.0009135000000242144,0.000899200007552281,0.0009187999967252836,0.0009143999923253432,0.0008993000083137304,0.0009135000000242144
